defined_class	defined_class_label	cellular_component	cellular_component_label
http://purl.obolibrary.org/obo/FYPO_0003138	abnormal ascospore wall morphology	http://purl.obolibrary.org/obo/GO_0005619	ascospore wall
http://purl.obolibrary.org/obo/FYPO_0001229	abnormal cell cortex morphology	http://purl.obolibrary.org/obo/GO_0005938	cell cortex
http://purl.obolibrary.org/obo/FYPO_0002947	abnormal cell wall morphology	http://purl.obolibrary.org/obo/GO_0009277	fungal-type cell wall
http://purl.obolibrary.org/obo/FYPO_0005600	abnormal chromosome morphology	http://purl.obolibrary.org/obo/GO_0005694	chromosome
http://purl.obolibrary.org/obo/FYPO_0003063	abnormal cytoskeleton morphology	http://purl.obolibrary.org/obo/GO_0005856	cytoskeleton
http://purl.obolibrary.org/obo/FYPO_0005646	abnormal kinetochore morphology	http://purl.obolibrary.org/obo/GO_0000776	kinetochore
http://purl.obolibrary.org/obo/FYPO_0004585	abnormal linear element morphology	http://purl.obolibrary.org/obo/GO_0030998	linear element
http://purl.obolibrary.org/obo/FYPO_0003064	abnormal microtubule cytoskeleton morphology	http://purl.obolibrary.org/obo/GO_0015630	microtubule cytoskeleton
http://purl.obolibrary.org/obo/FYPO_0002256	abnormal nuclear morphology	http://purl.obolibrary.org/obo/GO_0005634	cell nucleus
http://purl.obolibrary.org/obo/FYPO_0002256	abnormal nuclear morphology	http://purl.obolibrary.org/obo/GO_0005634	nucleus
http://purl.obolibrary.org/obo/FYPO_0000357	abnormal shmoo morphology	http://purl.obolibrary.org/obo/GO_0005937	mating projection
http://purl.obolibrary.org/obo/FYPO_0003607	abnormal spindle morphology	http://purl.obolibrary.org/obo/GO_0005819	spindle
http://purl.obolibrary.org/obo/FYPO_0004607	abnormal spindle pole body morphology	http://purl.obolibrary.org/obo/GO_0005816	spindle pole body
http://purl.obolibrary.org/obo/FYPO_0006508	abnormal telomere morphology	http://purl.obolibrary.org/obo/GO_0000781	chromosome, telomeric region
http://purl.obolibrary.org/obo/FYPO_0002257	abnormal vacuolar morphology	http://purl.obolibrary.org/obo/GO_0000324	fungal-type vacuole
