color	entity	defined_class
http://purl.obolibrary.org/obo/PATO_0000319	http://purl.obolibrary.org/obo/UBERON_0000014	http://purl.obolibrary.org/obo/UPHENO_0083437
http://purl.obolibrary.org/obo/PATO_0000319	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083438
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/UPHENO_0083439
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0000014	http://purl.obolibrary.org/obo/UPHENO_0083440
http://purl.obolibrary.org/obo/PATO_0000322	http://purl.obolibrary.org/obo/UBERON_0000014	http://purl.obolibrary.org/obo/UPHENO_0083441
http://purl.obolibrary.org/obo/PATO_0000324	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083442
http://purl.obolibrary.org/obo/PATO_0000322	http://purl.obolibrary.org/obo/UBERON_0001091	http://purl.obolibrary.org/obo/UPHENO_0083443
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0001091	http://purl.obolibrary.org/obo/UPHENO_0083444
http://purl.obolibrary.org/obo/PATO_0000324	http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/UPHENO_0083445
http://purl.obolibrary.org/obo/PATO_0000322	http://purl.obolibrary.org/obo/UBERON_0001088	http://purl.obolibrary.org/obo/UPHENO_0083446
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0001771	http://purl.obolibrary.org/obo/UPHENO_0083448
http://purl.obolibrary.org/obo/PATO_0000323	http://purl.obolibrary.org/obo/UBERON_0001771	http://purl.obolibrary.org/obo/UPHENO_0083449
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083450
http://purl.obolibrary.org/obo/PATO_0000322	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083451
http://purl.obolibrary.org/obo/PATO_0000323	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083452
http://purl.obolibrary.org/obo/PATO_0000323	http://purl.obolibrary.org/obo/UBERON_0010163	http://purl.obolibrary.org/obo/UPHENO_0083453
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0010163	http://purl.obolibrary.org/obo/UPHENO_0083454
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0001702	http://purl.obolibrary.org/obo/UPHENO_0083455
http://purl.obolibrary.org/obo/PATO_0000323	http://purl.obolibrary.org/obo/UBERON_0001702	http://purl.obolibrary.org/obo/UPHENO_0083456
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0001752	http://purl.obolibrary.org/obo/UPHENO_0083457
http://purl.obolibrary.org/obo/PATO_0000322	http://purl.obolibrary.org/obo/UBERON_0001037	http://purl.obolibrary.org/obo/UPHENO_0083458
http://purl.obolibrary.org/obo/PATO_0000319	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0083459
http://purl.obolibrary.org/obo/PATO_0000950	http://purl.obolibrary.org/obo/UBERON_0001752	http://purl.obolibrary.org/obo/UPHENO_0083460
http://purl.obolibrary.org/obo/PATO_0000320	http://purl.obolibrary.org/obo/UBERON_0001091	http://purl.obolibrary.org/obo/UPHENO_0083461
http://purl.obolibrary.org/obo/PATO_0000320	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083462
http://purl.obolibrary.org/obo/PATO_0000318	http://purl.obolibrary.org/obo/UBERON_0001088	http://purl.obolibrary.org/obo/UPHENO_0083463
http://purl.obolibrary.org/obo/PATO_0000318	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083464
http://purl.obolibrary.org/obo/PATO_0000014	http://purl.obolibrary.org/obo/UBERON_0002097	http://purl.obolibrary.org/obo/UPHENO_0083465
http://purl.obolibrary.org/obo/PATO_0000950	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083466
http://purl.obolibrary.org/obo/PATO_0001284	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083467
http://purl.obolibrary.org/obo/PATO_0001251	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083468
http://purl.obolibrary.org/obo/PATO_0000336	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083469
http://purl.obolibrary.org/obo/PATO_0000952	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083470
http://purl.obolibrary.org/obo/PATO_0001287	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083471
http://purl.obolibrary.org/obo/PATO_0001286	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083472
http://purl.obolibrary.org/obo/PATO_0001266	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083473
http://purl.obolibrary.org/obo/PATO_0001944	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083474
http://purl.obolibrary.org/obo/PATO_0000317	http://purl.obolibrary.org/obo/UBERON_0001062	http://purl.obolibrary.org/obo/UPHENO_0083475
